Team,Season,Wins,Losses,Percentage,ORtg,DRtg
MEM,2010-11,46,36,0.561,107.6,105.1
MEM,2009-10,40,42,0.488,108.3,109.9
MEM,2008-09,24,58,0.293,103.5,109.5
MEM,2007-08,22,60,0.268,105,111.4
MEM,2006-07,22,60,0.268,106.9,112.3
MEM,2005-06,49,33,0.598,105.9,101.6
MEM,2004-05,45,37,0.549,105.5,102.9
MIA,2015-16,48,34,0.585,106.1,104.4
MIA,2014-15,37,45,0.451,103.9,106.7
MIA,2013-14,54,28,0.659,110.9,105.8
MIA,2012-13,66,16,0.805,112.3,103.7
MIA,2011-12,46,20,0.697,106.6,100.2
MIA,2010-11,58,24,0.707,111.7,103.5
MIA,2009-10,47,35,0.573,106.6,104.1
MIA,2008-09,43,39,0.524,107.8,107.6
MIA,2007-08,15,67,0.183,100.5,110
MIA,2006-07,44,38,0.537,104.3,105.3
MIA,2005-06,52,30,0.634,108.7,104.5
MIA,2004-05,59,23,0.72,110.2,103.1
MIL,2015-16,33,49,0.402,104.3,108.7
MIL,2014-15,41,41,0.5,102.7,102.2
MIL,2013-14,15,67,0.183,103,111.8
MIL,2012-13,38,44,0.463,103.6,105.2
MIL,2011-12,31,35,0.47,105.5,105.2
MIL,2010-11,35,47,0.427,101.6,102.5
MIL,2009-10,46,36,0.561,104.9,103.1
MIL,2008-09,34,48,0.415,106.7,107.9
MIL,2007-08,26,56,0.317,105.3,112.8
MIL,2006-07,28,54,0.341,107,111.7
MIL,2005-06,40,42,0.488,106.3,107.4
MIL,2004-05,30,52,0.366,106.6,109.8
MIN,2015-16,29,53,0.354,106.5,110.1
MIN,2014-15,16,66,0.195,102.9,112.2
MIN,2013-14,40,42,0.488,108.9,106.2
MIN,2012-13,31,51,0.378,102.9,105.4
MIN,2011-12,26,40,0.394,104.3,106.6
MIN,2010-11,17,65,0.207,104.2,111.1
MIN,2009-10,15,67,0.183,101.7,111.6
MIN,2008-09,24,58,0.293,106.1,111.4
MIN,2007-08,22,60,0.268,103.8,111.2
MIN,2006-07,32,50,0.39,103.9,107.9
MIN,2005-06,33,49,0.402,102.4,104.5
MIN,2004-05,44,38,0.537,108.2,106.6
NOH,2015-16,30,52,0.366,105.6,109.5
NOH,2014-15,45,37,0.549,108.2,107.3
NOH,2013-14,34,48,0.415,107.2,110.1
NOH,2012-13,27,55,0.329,105.7,110.1
NOH,2011-12,21,45,0.318,100.9,105.1
NOH,2010-11,46,36,0.561,106.2,105.2
NOH,2009-10,37,45,0.451,107.4,110.1
NOH,2008-09,49,33,0.598,108.7,107
NOH,2007-08,56,26,0.683,111.5,105.7
NOH,2006-07,39,43,0.476,104.8,106.5
NOH,2005-06,38,44,0.463,103.7,106.8
NOH,2004-05,18,64,0.22,99.7,107.7
NYK,2015-16,32,50,0.39,104.6,107.6
NYK,2014-15,17,65,0.207,99.9,110
NYK,2013-14,37,45,0.451,108.3,109.1
NYK,2012-13,54,28,0.659,111.1,106.3
NYK,2011-12,36,30,0.545,104.4,101
NYK,2010-11,42,40,0.512,110.9,110.1
NYK,2009-10,29,53,0.354,107.6,111.6
NYK,2008-09,32,50,0.39,108.1,110.8
NYK,2007-08,23,59,0.28,104.7,111.9
NYK,2006-07,33,49,0.402,105.7,108.8
NYK,2005-06,23,59,0.28,104,111
NYK,2004-05,33,49,0.402,106.2,108.9
OKC,2015-16,55,27,0.671,113.1,105.6
OKC,2014-15,45,37,0.549,107.8,105.5
OKC,2013-14,59,23,0.72,110.5,103.9
OKC,2012-13,60,22,0.732,112.4,102.6
OKC,2011-12,47,19,0.712,109.8,103.2
OKC,2010-11,55,27,0.671,111.2,107.2
OKC,2009-10,50,32,0.61,108.3,104.6
OKC,2008-09,23,59,0.28,102.9,109.4
OKC,2007-08,20,62,0.244,100.5,109.5
OKC,2006-07,31,51,0.378,107.2,110.3
OKC,2005-06,35,47,0.427,111.1,114.4
OKC,2004-05,52,30,0.634,112.2,109.6
ORL,2015-16,35,47,0.427,105.1,106.8
ORL,2014-15,25,57,0.305,101.6,107.7
ORL,2013-14,23,59,0.28,101.7,107.4
ORL,2012-13,20,62,0.244,101.6,109.1
ORL,2011-12,37,29,0.561,105,104.1
ORL,2010-11,52,30,0.634,107.9,102
ORL,2009-10,59,23,0.72,111.4,103.3
ORL,2008-09,59,23,0.72,109.2,101.9
ORL,2007-08,52,30,0.634,111.3,105.5
ORL,2006-07,40,42,0.488,104.9,104.1
ORL,2005-06,36,46,0.439,106.3,107.5
ORL,2004-05,36,46,0.439,104.9,107.3
PHI,2015-16,10,72,0.122,98.8,109.2
PHI,2014-15,18,64,0.22,95.5,104.8
PHI,2013-14,19,63,0.232,99.4,109.9
PHI,2012-13,34,48,0.415,102,105.7
PHI,2011-12,35,31,0.53,103.9,99.2
PHI,2010-11,41,41,0.5,106.6,105
PHI,2009-10,27,55,0.329,106.1,110.3
